GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Mediscreen,com.mediscreen.config,SwaggerConfig,0,15,0,0,0,6,0,2,0,2
Mediscreen,com.mediscreen,MediscreenApplication,5,3,0,0,2,1,1,1,1,1
Mediscreen,com.mediscreen.entities,Patient,0,52,0,0,0,22,0,15,0,15
Mediscreen,com.mediscreen.controller,PatientController,0,30,0,0,0,9,0,6,0,6
Mediscreen,com.mediscreen.services,PatientServiceImpl,0,62,0,0,0,18,0,6,0,6
